fiscal_year,quarter,loan_type,metric,value,source_file,fiscal_period,total_outstanding_bn_all_types
2017,Q2,Perkins,dollars_outstanding_bn,7.9,PortfoliobyLoanType.xls,2017_Q2,2053.9
2017,Q2,Perkins,recipients_mm,2.6,PortfoliobyLoanType.xls,2017_Q2,2053.9
2017,Q2,Consolidation,dollars_outstanding_bn,464.5,PortfoliobyLoanType.xls,2017_Q2,2053.9
2017,Q2,Consolidation,recipients_mm,12.0,PortfoliobyLoanType.xls,2017_Q2,2053.9
2017,Q3,Stafford Subsidized,dollars_outstanding_bn,269.9,PortfoliobyLoanType.xls,2017_Q3,2057.6
2017,Q3,Stafford Subsidized,recipients_mm,29.0,PortfoliobyLoanType.xls,2017_Q3,2057.6
2017,Q3,Stafford Unsubsidized,dollars_outstanding_bn,450.3,PortfoliobyLoanType.xls,2017_Q3,2057.6
2017,Q3,Stafford Unsubsidized,recipients_mm,27.6,PortfoliobyLoanType.xls,2017_Q3,2057.6
2017,Q3,Stafford (Combined),dollars_outstanding_bn,720.2,PortfoliobyLoanType.xls,2017_Q3,2057.6
2017,Q3,Stafford (Combined),unique_recipients_mm,32.2,PortfoliobyLoanType.xls,2017_Q3,2057.6
2017,Q3,Grad PLUS,dollars_outstanding_bn,56.6,PortfoliobyLoanType.xls,2017_Q3,2057.6
2017,Q3,Grad PLUS,recipients_mm,1.1,PortfoliobyLoanType.xls,2017_Q3,2057.6
2017,Q3,Parent PLUS,dollars_outstanding_bn,80.5,PortfoliobyLoanType.xls,2017_Q3,2057.6
2017,Q3,Parent PLUS,recipients_mm,3.4,PortfoliobyLoanType.xls,2017_Q3,2057.6
2017,Q3,Perkins,dollars_outstanding_bn,7.8,PortfoliobyLoanType.xls,2017_Q3,2057.6
2017,Q3,Perkins,recipients_mm,2.6,PortfoliobyLoanType.xls,2017_Q3,2057.6
2017,Q3,Consolidation,dollars_outstanding_bn,472.3,PortfoliobyLoanType.xls,2017_Q3,2057.6
2017,Q3,Consolidation,recipients_mm,12.0,PortfoliobyLoanType.xls,2017_Q3,2057.6
2017,Q4,Stafford Subsidized,dollars_outstanding_bn,273.1,PortfoliobyLoanType.xls,2017_Q4,2102.5
2017,Q4,Stafford Subsidized,recipients_mm,29.5,PortfoliobyLoanType.xls,2017_Q4,2102.5
2017,Q4,Stafford Unsubsidized,dollars_outstanding_bn,462.4,PortfoliobyLoanType.xls,2017_Q4,2102.5
2017,Q4,Stafford Unsubsidized,recipients_mm,28.3,PortfoliobyLoanType.xls,2017_Q4,2102.5
2017,Q4,Stafford (Combined),dollars_outstanding_bn,735.5,PortfoliobyLoanType.xls,2017_Q4,2102.5
2017,Q4,Stafford (Combined),unique_recipients_mm,32.9,PortfoliobyLoanType.xls,2017_Q4,2102.5
2017,Q4,Grad PLUS,dollars_outstanding_bn,59.7,PortfoliobyLoanType.xls,2017_Q4,2102.5
2017,Q4,Grad PLUS,recipients_mm,1.2,PortfoliobyLoanType.xls,2017_Q4,2102.5
